0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/widget/widget.update.js HTTP/1.1" 200 13412
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/widget/widget.dialog.js HTTP/1.1" 200 4585
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/widget/widget.navmenu.js HTTP/1.1" 200 12124
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/widget/widget.search.js HTTP/1.1" 200 49652
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/widget/widget.slickgrid.js HTTP/1.1" 200 82698
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/widget/widget.tooltip.js HTTP/1.1" 200 4144
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.actions.js HTTP/1.1" 200 33279
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.widget.js HTTP/1.1" 200 12729
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.layout.js HTTP/1.1" 200 17365
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.converters.js HTTP/1.1" 200 10525
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.base.js HTTP/1.1" 200 19961
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.boolean.js HTTP/1.1" 200 7180
0:0:0:0:0:0:0:1 - - [06/Dec/2022:10:11:54 +0530] "GET /School-Information/js/form/form.input.number.js HTTP/1.1" 200 6624
